date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523137380.000000,26,26,2,2,0,0,0,0,0,0,0,0,0,0,18,18,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1523137380.050000,17,17,3,3,0,0,0,0,0,0,0,0,2,2,6,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0
1523137380.100000,13,12,3,3,0,0,1,1,0,0,0,0,0,0,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523137380.150000,22,23,3,3,0,0,0,0,0,0,0,0,2,2,9,10,6,6,2,2,0,0,0,0,0,0,0,0,0,0
1523137380.200000,24,23,5,5,0,0,0,0,0,0,0,0,0,0,5,4,14,14,0,0,0,0,0,0,0,0,0,0,0,0
1523137380.250000,19,20,1,1,0,0,0,0,0,0,0,0,2,2,5,6,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1523137380.300000,24,24,1,1,0,0,1,1,0,0,0,0,0,0,10,10,12,12,0,0,0,0,0,0,0,0,0,0,0,0
1523137380.350000,22,21,2,2,0,0,1,1,0,0,0,0,0,0,8,8,9,8,2,2,0,0,0,0,0,0,0,0,0,0
1523137380.400000,25,26,4,4,0,0,0,0,0,0,0,0,0,0,10,10,9,10,2,2,0,0,0,0,0,0,0,0,0,0
1523137380.450000,31,30,1,1,0,0,0,0,1,1,0,0,0,0,22,22,6,5,1,1,0,0,0,0,0,0,0,0,0,0
1523137380.500000,37,38,3,3,0,0,0,0,1,1,0,0,2,2,23,23,6,7,2,2,0,0,0,0,0,0,0,0,0,0
