date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,Browse_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,BrowseStoriesInCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,ViewComment_http_out_rs,Search_http_out_rs,SearchInStories_http_out_rs,SearchInComments_http_out_rs,SearchInUsers_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523211780.000000,0.086121,0.105200,0.000000,0.000000,0.000000,0.000000,0.034000,0.091933,0.081000,0.077600,0.000000,0.000000,0.000000,0.000000,0.000000,0.101269,0.091167,0.000000,0.000000,0.046500,0.000000,0.008000,0.120581,0.095750,0.033667,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.050000,0.070934,0.059286,0.000000,0.000000,0.039500,0.000000,0.004500,0.081022,0.068344,0.039667,0.000000,0.000000,0.000000,0.000000,0.000000,0.070820,0.060429,0.000000,0.000000,0.031000,0.000000,0.023000,0.091932,0.053129,0.029333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.100000,0.057532,0.037500,0.000000,0.189000,0.046000,0.000000,0.000000,0.072568,0.044625,0.011250,0.000000,0.000000,0.000000,0.000000,0.000000,0.066379,0.024600,0.000000,0.000000,0.048000,0.000000,0.000000,0.063489,0.078026,0.052167,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.150000,0.064908,0.049167,0.000000,0.000000,0.014000,0.000000,0.000000,0.082595,0.055154,0.039000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090065,0.070833,0.000000,0.000000,0.026500,0.000000,0.000000,0.092083,0.064047,0.347800,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.200000,0.064436,0.058000,0.000000,0.000000,0.120000,0.000000,0.000000,0.069520,0.063219,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068211,0.032667,0.000000,0.000000,0.021000,0.000000,0.000000,0.078660,0.061176,0.003500,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.250000,0.068264,0.052083,0.000000,0.042000,0.042000,0.000000,0.000000,0.081119,0.058276,0.067667,0.000000,0.000000,0.000000,0.000000,0.000000,0.074108,0.106625,0.000000,0.000000,0.000000,0.000000,0.000000,0.079381,0.067611,0.038714,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.300000,0.070186,0.063667,0.000000,0.084000,0.112000,0.000000,0.000000,0.076044,0.067143,0.048333,0.000000,0.000000,0.000000,0.000000,0.000000,0.094489,0.061000,0.000000,0.115500,0.042000,0.000000,0.000000,0.114600,0.088304,0.062800,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.350000,0.069793,0.072909,0.000000,0.000000,0.000000,0.000000,0.064667,0.068366,0.067345,0.106667,0.000000,0.000000,0.000000,0.000000,0.000000,0.073152,0.061667,0.000000,0.000000,0.120000,0.000000,0.005000,0.076571,0.071346,0.071000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.400000,0.081899,0.047857,0.000000,0.000000,0.057000,0.000000,0.118333,0.085453,0.084474,0.068000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070033,0.038375,0.000000,0.084000,0.000000,0.000000,0.073000,0.076288,0.062208,0.089800,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.450000,0.082552,0.054250,0.000000,0.000000,0.123000,0.000000,0.049000,0.090796,0.082375,0.038000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080295,0.085778,0.000000,0.000000,0.084500,0.000000,0.057667,0.082122,0.080136,0.055000,0.000000,0.000000,0.000000,0.000000,0.000000
