date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523212440.000000,21,16,6,5,0,0,1,2,0,0,4,2,0,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,0,0,0,0,4,2,0,0,0,0,0,0,0,1
1523212440.050000,24,14,5,3,1,0,0,0,0,0,4,0,0,1,1,0,1,2,3,3,3,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,3,1
1523212440.100000,21,6,7,0,1,2,0,0,0,0,4,0,1,0,1,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1523212440.150000,18,20,5,3,0,0,0,1,1,0,4,0,0,0,0,4,1,2,1,1,0,4,1,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,2,1
1523212440.200000,21,14,4,5,0,0,2,0,5,0,2,2,0,0,1,0,1,1,3,1,1,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1523212440.250000,22,16,2,3,1,2,1,0,3,2,3,1,0,2,1,1,0,2,3,3,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0
1523212440.300000,15,32,4,11,0,1,0,2,1,1,3,5,0,0,0,1,1,4,1,2,0,0,1,0,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0
1523212440.350000,29,29,6,3,1,2,1,0,1,1,4,4,1,2,2,3,1,3,1,2,3,4,1,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,4,2
1523212440.400000,20,30,5,3,0,0,0,2,1,2,2,4,1,1,0,0,0,0,3,2,2,9,1,0,0,0,0,1,0,1,0,0,4,1,0,2,0,0,0,0,1,2
1523212440.450000,15,33,2,5,2,0,0,0,1,1,2,6,0,3,0,0,2,3,3,2,1,4,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,4
1523212440.500000,18,33,4,10,2,0,1,0,0,2,1,4,0,1,0,0,0,2,1,4,1,0,0,1,0,0,0,0,1,0,0,0,4,5,0,1,0,0,0,0,3,3
1523212440.550000,20,26,6,1,1,0,3,1,1,1,5,9,0,1,0,1,0,1,1,3,0,4,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,1
1523212440.600000,12,26,3,6,1,1,1,1,0,1,3,4,0,1,0,3,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
1523212440.650000,23,22,2,5,0,0,1,1,2,0,5,4,0,0,0,1,2,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,5,4,0,1,0,0,0,0,4,1
1523212440.700000,25,26,5,6,0,1,1,1,0,1,5,4,0,2,2,2,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,3,2
1523212440.750000,24,21,7,5,0,0,1,1,1,1,2,3,0,0,1,1,4,5,2,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,4
1523212440.800000,17,25,0,6,1,1,0,2,1,2,3,3,0,2,1,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,2,4
1523212440.850000,23,23,7,2,0,0,0,1,2,0,3,3,0,1,2,1,3,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,1,0,0,2,5
1523212440.900000,23,24,3,6,0,3,0,1,1,0,3,8,2,0,0,1,5,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1
1523212440.950000,30,28,5,6,1,1,1,0,0,1,7,6,1,0,2,2,0,1,5,0,2,1,1,0,0,0,0,0,0,1,0,0,4,7,0,0,1,0,0,0,0,2
1523212441.000000,33,28,6,5,2,0,1,2,2,3,6,5,0,1,0,2,1,2,4,1,4,0,0,0,0,0,1,2,0,0,0,0,2,3,0,0,1,0,0,0,3,2
1523212441.050000,22,23,1,3,0,1,0,1,1,2,4,3,1,0,0,2,2,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,3,3
1523212441.100000,21,29,5,5,0,1,3,2,0,2,6,4,0,2,0,0,1,3,0,1,1,2,0,1,0,0,0,0,1,0,0,0,4,2,0,1,0,1,0,0,0,2
1523212441.150000,19,29,2,4,0,2,1,1,1,0,3,3,0,1,1,2,1,1,1,2,2,3,0,0,0,0,1,0,0,0,0,0,2,2,0,1,1,2,0,0,3,5
1523212441.200000,23,17,8,7,0,0,0,2,0,0,5,2,0,1,1,0,0,0,1,0,2,3,0,0,0,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0
1523212441.250000,26,29,5,6,0,0,0,3,0,2,6,3,0,1,1,1,1,4,1,1,1,1,0,0,0,0,0,1,1,0,0,0,7,3,0,0,0,0,0,0,3,3
