date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523212440.000000,45,41,7,5,2,1,0,0,3,2,8,7,1,1,1,4,5,2,5,5,5,3,1,1,0,1,2,2,0,0,0,0,3,5,2,2,0,0,0,0,0,0
1523212440.050000,45,43,6,7,2,2,3,3,6,4,8,5,1,0,0,1,5,5,7,7,2,5,0,0,0,0,1,1,0,1,0,0,3,2,1,0,0,0,0,0,0,0
1523212440.100000,42,50,13,13,0,1,1,1,1,4,4,7,0,1,2,3,1,4,3,3,8,8,0,0,1,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0
1523212440.150000,26,36,8,8,0,0,2,2,1,1,3,3,1,1,1,4,6,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0
1523212440.200000,55,31,14,9,2,2,1,0,3,1,8,3,4,2,2,1,6,3,3,3,5,4,0,0,1,0,2,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0
1523212440.250000,41,39,11,11,3,2,2,2,1,2,8,6,3,4,1,0,2,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0
1523212440.300000,44,43,10,11,1,1,3,4,1,1,11,11,1,1,2,0,6,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0
1523212440.350000,50,61,9,11,1,2,6,4,4,3,13,15,3,3,1,1,0,5,4,3,2,8,0,0,0,0,0,0,0,0,1,1,5,4,1,1,0,0,0,0,0,0
1523212440.400000,39,68,10,9,0,0,1,2,1,3,7,12,3,4,0,2,4,4,3,4,4,20,0,0,0,0,1,0,0,1,0,0,5,6,0,1,0,0,0,0,0,0
1523212440.450000,60,54,8,8,1,1,3,4,3,1,17,8,4,4,2,1,4,1,3,3,7,13,2,2,1,1,0,1,0,0,0,0,4,4,1,2,0,0,0,0,0,0
