date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523213220.000000,64,64,5,1,0,0,0,0,0,0,0,0,5,4,30,30,21,26,3,3,0,0,0,0,0,0,0,0,0,0
1523213220.050000,24,24,4,0,0,0,0,0,0,0,0,0,0,1,12,13,6,8,2,2,0,0,0,0,0,0,0,0,0,0
1523213220.100000,33,34,4,3,0,0,0,0,0,0,0,0,2,2,21,20,6,9,0,0,0,0,0,0,0,0,0,0,0,0
1523213220.150000,25,24,3,1,0,0,0,0,0,0,0,0,1,1,19,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523213220.200000,53,54,1,4,0,0,0,0,1,0,0,0,0,1,38,37,11,11,2,1,0,0,0,0,0,0,0,0,0,0
1523213220.250000,66,81,1,9,0,0,0,0,1,2,0,0,0,1,47,47,13,17,4,5,0,0,0,0,0,0,0,0,0,0
1523213220.300000,60,57,2,1,0,0,0,0,1,0,0,0,0,0,42,42,15,13,0,1,0,0,0,0,0,0,0,0,0,0
1523213220.350000,45,39,4,2,0,0,0,0,2,2,0,0,1,0,23,23,15,12,0,0,0,0,0,0,0,0,0,0,0,0
1523213220.400000,86,70,8,2,0,0,1,1,1,1,0,0,2,0,40,42,28,20,6,4,0,0,0,0,0,0,0,0,0,0
1523213220.450000,114,117,6,6,0,0,0,0,2,2,0,0,2,2,72,70,29,32,3,5,0,0,0,0,0,0,0,0,0,0
1523213220.500000,77,78,4,9,0,0,0,0,3,1,0,0,1,1,44,44,23,22,2,1,0,0,0,0,0,0,0,0,0,0
1523213220.550000,57,53,4,3,0,0,1,0,1,1,0,0,2,1,27,27,21,20,1,1,0,0,0,0,0,0,0,0,0,0
1523213220.600000,63,64,4,4,0,0,0,0,0,2,0,0,0,0,35,35,22,21,2,2,0,0,0,0,0,0,0,0,0,0
1523213220.650000,77,70,7,4,0,0,0,0,1,1,0,0,0,0,38,38,31,27,0,0,0,0,0,0,0,0,0,0,0,0
1523213220.700000,89,97,9,9,0,0,0,0,2,2,0,0,3,4,48,48,24,30,3,4,0,0,0,0,0,0,0,0,0,0
1523213220.750000,55,50,5,3,0,0,0,0,1,2,0,0,1,2,28,28,15,12,5,3,0,0,0,0,0,0,0,0,0,0
1523213220.800000,60,57,2,4,0,0,0,1,1,0,0,0,5,2,35,35,14,15,3,0,0,0,0,0,0,0,0,0,0,0
1523213220.850000,96,100,8,10,0,0,0,0,1,2,0,0,4,4,55,55,25,27,3,2,0,0,0,0,0,0,0,0,0,0
1523213220.900000,84,89,7,9,0,0,0,0,1,0,0,0,6,8,41,41,28,28,1,3,0,0,0,0,0,0,0,0,0,0
1523213220.950000,56,52,10,3,0,0,0,0,4,2,0,0,1,2,35,36,5,5,1,4,0,0,0,0,0,0,0,0,0,0
1523213221.000000,49,49,5,5,0,0,2,1,0,2,0,0,0,0,26,25,12,14,4,2,0,0,0,0,0,0,0,0,0,0
1523213221.050000,88,88,12,10,0,0,0,0,2,2,0,0,6,7,49,49,15,16,4,4,0,0,0,0,0,0,0,0,0,0
1523213221.100000,77,77,7,10,0,0,1,2,1,2,0,0,4,4,43,43,15,13,6,3,0,0,0,0,0,0,0,0,0,0
1523213221.150000,83,86,3,6,0,0,1,1,1,1,0,0,0,0,49,49,28,26,1,3,0,0,0,0,0,0,0,0,0,0
1523213221.200000,82,88,5,6,0,0,1,0,4,0,0,0,2,2,49,49,19,27,2,4,0,0,0,0,0,0,0,0,0,0
