date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523214660.000000,3544.799999,1928.799999,0.000000,40.000000,71.520000,0.000000,83.000000,672.480000,398.000000,266.000000,0.000000,0.000000,0.000000,0.000000,85.000000,3494.400002,50.399998
1523214660.050000,3548.320000,1930.420002,0.000000,40.000000,72.000000,0.000000,83.000000,673.199997,398.000000,266.700001,0.000000,0.000000,0.000000,0.000000,85.000000,3497.320000,51.000000
1523214660.100000,3548.799995,1928.559998,0.000000,40.220001,72.000000,0.000000,83.299999,673.259998,398.459999,268.000000,0.000000,0.000000,0.000000,0.000000,85.000000,3497.739998,51.059998
1523214660.150000,3550.319996,1927.779999,0.000000,41.000000,72.000000,0.000000,84.000000,674.739998,398.720001,267.079998,0.000000,0.000000,0.000000,0.000000,85.000000,3500.680000,49.639996
1523214660.200000,3551.499992,1929.859997,0.000000,40.180000,72.000000,0.000000,84.000000,674.699997,399.799999,265.959999,0.000000,0.000000,0.000000,0.000000,85.000000,3503.179993,48.320000
1523214660.250000,3556.700001,1933.459999,0.000000,40.000000,72.000000,0.000000,84.000000,674.000000,400.320004,267.739998,0.000000,0.000000,0.000000,0.000000,85.180000,3507.080002,49.619999
1523214660.300000,3561.020004,1934.540001,0.000000,40.000000,72.439999,0.000000,84.000000,674.000000,400.580002,268.540001,0.000000,0.000000,0.000000,0.000000,86.920002,3510.760002,50.260002
1523214660.350000,3564.579994,1935.340000,0.000000,39.420002,73.000000,0.000000,84.379997,673.779999,401.740002,269.000000,0.000000,0.000000,0.000000,0.000000,87.919994,3513.679993,50.900002
1523214660.400000,3567.880001,1936.080006,0.000000,39.000000,73.000000,0.000000,85.000000,673.820000,402.360001,268.919994,0.000000,0.000000,0.000000,0.000000,89.700001,3515.899998,51.980003
1523214660.450000,3566.539997,1935.360001,0.000000,39.000000,73.380001,0.000000,85.000000,673.619999,400.919998,268.939999,0.000000,0.000000,0.000000,0.000000,90.320000,3516.259998,50.279999
1523214660.500000,3564.719997,1933.720005,0.000000,39.000000,74.820000,0.000000,85.000000,672.419994,400.759998,268.000000,0.000000,0.000000,0.000000,0.000000,91.000000,3516.320004,48.399994
1523214660.550000,3562.919998,1930.240002,0.000000,39.000000,74.560001,0.000000,84.059998,672.680000,403.379997,268.000000,0.000000,0.000000,0.000000,0.000000,91.000000,3516.200005,46.719994
1523214660.600000,3562.959995,1931.680000,0.000000,39.000000,72.020000,0.000000,84.000000,673.619999,404.959999,266.679996,0.000000,0.000000,0.000000,0.000000,91.000000,3517.019993,45.940002
1523214660.650000,3566.919994,1933.539997,0.000000,39.000000,72.000000,0.000000,84.000000,675.500000,403.880001,267.520000,0.000000,0.000000,0.000000,0.000000,91.479996,3520.219997,46.699997
1523214660.700000,3564.640003,1933.060005,0.000000,39.000000,72.000000,0.000000,84.000000,673.719997,404.379997,267.080002,0.000000,0.000000,0.000000,0.000000,91.400002,3518.740002,45.900002
1523214660.750000,3563.919998,1933.439999,0.000000,39.000000,72.000000,0.000000,84.000000,671.660000,405.299999,267.520000,0.000000,0.000000,0.000000,0.000000,91.000000,3517.239998,46.680000
1523214660.800000,3569.160000,1934.559998,0.000000,39.000000,72.000000,0.000000,84.000000,671.620003,409.160000,268.219997,0.000000,0.000000,0.000000,0.000000,90.600002,3521.759998,47.400002
1523214660.850000,3570.399990,1934.040001,0.000000,39.000000,72.000000,0.000000,84.000000,670.299999,411.779995,268.899998,0.000000,0.000000,0.000000,0.000000,90.379997,3523.299992,47.099998
1523214660.900000,3573.619987,1933.899994,0.000000,39.000000,72.000000,0.000000,84.000000,671.959999,413.279999,269.479996,0.000000,0.000000,0.000000,0.000000,90.000000,3525.499992,48.119995
1523214660.950000,3573.259995,1935.320000,0.000000,39.000000,71.439999,0.000000,84.000000,672.440002,411.939995,269.959999,0.000000,0.000000,0.000000,0.000000,89.160000,3525.419994,47.840000
1523214661.000000,3572.939995,1935.319996,0.000000,39.000000,70.340000,0.000000,84.000000,673.000000,411.699997,270.000000,0.000000,0.000000,0.000000,0.000000,89.580002,3525.179993,47.760002
1523214661.050000,3574.719997,1936.520000,0.000000,39.000000,70.000000,0.000000,84.000000,672.199997,412.000000,271.000000,0.000000,0.000000,0.000000,0.000000,90.000000,3526.559998,48.160000
