date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523214660.000000,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1523214660.050000,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1523214660.100000,9,10,4,6,0,0,0,0,1,1,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1523214660.150000,8,7,4,1,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523214660.200000,7,7,2,2,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
1523214660.250000,4,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
1523214660.300000,14,14,9,7,0,0,0,0,0,0,0,0,0,0,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0
1523214660.350000,9,9,6,5,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1523214660.400000,16,17,5,4,0,0,0,0,0,4,0,0,2,2,3,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0
1523214660.450000,8,8,2,3,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1523214660.500000,17,16,7,5,0,0,0,0,0,0,0,0,1,1,3,5,4,2,2,3,0,0,0,0,0,0,0,0,0,0
1523214660.550000,14,14,4,6,0,0,0,0,1,0,0,0,2,1,2,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0
1523214660.600000,11,12,6,5,0,0,0,0,1,0,0,0,0,0,1,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1523214660.650000,7,7,1,2,0,0,0,0,1,0,0,0,0,0,1,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0
1523214660.700000,14,14,4,3,0,0,0,0,0,0,0,0,0,1,2,1,5,6,3,3,0,0,0,0,0,0,0,0,0,0
1523214660.750000,14,14,2,3,0,0,0,0,1,3,0,0,0,0,5,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0
1523214660.800000,17,17,4,6,0,0,0,0,0,0,0,0,1,1,5,3,5,5,2,2,0,0,0,0,0,0,0,0,0,0
1523214660.850000,11,12,2,2,0,0,1,1,0,0,0,0,0,0,7,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1523214660.900000,16,16,5,3,0,0,1,1,1,1,0,0,1,1,2,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0
1523214660.950000,16,16,7,6,0,0,0,0,3,1,0,0,0,0,2,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0
1523214661.000000,11,10,7,7,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1523214661.050000,11,11,5,4,0,0,1,0,0,0,0,0,0,0,1,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0
1523214661.100000,11,10,1,1,0,0,0,1,0,0,0,0,1,1,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0
1523214661.150000,13,13,2,9,0,0,0,0,0,0,0,0,1,1,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1523214661.200000,14,17,1,7,0,0,2,2,0,1,0,0,1,0,6,1,1,2,3,4,0,0,0,0,0,0,0,0,0,0
1523214661.250000,16,13,8,3,0,0,0,0,2,2,0,0,0,1,1,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0
1523214661.300000,7,7,1,2,0,0,0,0,1,1,0,0,1,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1523214661.350000,13,14,3,6,0,0,0,0,0,1,0,0,1,1,3,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0
1523214661.400000,15,13,6,3,0,0,1,1,0,0,0,0,0,1,1,2,5,4,2,2,0,0,0,0,0,0,0,0,0,0
1523214661.450000,7,7,1,2,0,0,1,1,0,0,0,0,0,0,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1523214661.500000,20,20,8,5,0,0,2,2,0,0,0,0,1,1,5,4,2,6,2,2,0,0,0,0,0,0,0,0,0,0
1523214661.550000,20,20,4,4,0,0,0,0,1,1,0,0,2,1,4,5,6,5,3,4,0,0,0,0,0,0,0,0,0,0
1523214661.600000,17,18,2,0,0,0,1,1,0,1,0,0,1,2,3,2,5,7,5,5,0,0,0,0,0,0,0,0,0,0
1523214661.650000,14,13,0,4,0,0,0,0,0,0,0,0,0,0,6,1,4,4,4,4,0,0,0,0,0,0,0,0,0,0
1523214661.700000,15,15,6,8,0,0,0,0,0,1,0,0,0,0,7,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0
1523214661.750000,13,13,3,4,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,3,0,0,0,0,0,0,0,0,0,0
1523214661.800000,12,12,2,0,0,0,1,1,1,0,0,0,0,0,3,5,0,2,5,4,0,0,0,0,0,0,0,0,0,0
1523214661.850000,12,12,2,3,0,0,1,1,1,1,0,0,1,0,2,3,5,3,0,1,0,0,0,0,0,0,0,0,0,0
1523214661.900000,10,10,6,1,0,0,0,0,0,0,0,0,0,1,1,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0
1523214661.950000,17,17,4,6,0,0,0,0,0,0,0,0,1,1,6,4,2,4,4,2,0,0,0,0,0,0,0,0,0,0
1523214662.000000,5,6,0,4,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1523214662.050000,9,9,2,5,0,0,0,0,0,0,0,0,1,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1523214662.100000,22,21,5,3,0,0,1,1,1,0,0,0,1,1,4,9,6,3,4,4,0,0,0,0,0,0,0,0,0,0
1523214662.150000,15,15,6,3,0,0,0,0,0,0,0,0,0,0,5,6,1,4,3,2,0,0,0,0,0,0,0,0,0,0
1523214662.200000,10,10,3,3,0,0,0,0,1,0,0,0,1,0,1,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0
1523214662.250000,7,7,3,1,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0
1523214662.300000,13,15,3,6,0,0,0,0,0,1,0,0,2,1,5,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1523214662.350000,12,11,4,4,0,0,0,0,0,2,0,0,0,0,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
1523214662.400000,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523214662.450000,16,17,4,4,0,0,1,0,1,0,0,0,0,2,4,4,3,5,3,2,0,0,0,0,0,0,0,0,0,0
1523214662.500000,13,13,1,3,0,0,1,1,2,0,0,0,1,0,5,2,2,5,1,2,0,0,0,0,0,0,0,0,0,0
1523214662.550000,8,8,0,2,0,0,0,1,0,0,0,0,1,2,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1523214662.600000,15,15,5,3,0,0,0,0,0,0,0,0,0,1,3,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0
1523214662.650000,9,9,1,2,0,0,0,0,0,1,0,0,0,0,3,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1523214662.700000,13,13,3,3,0,0,0,0,2,0,0,0,0,0,3,6,3,2,2,2,0,0,0,0,0,0,0,0,0,0
1523214662.750000,19,19,5,2,0,0,0,0,0,1,0,0,1,2,6,7,4,4,3,3,0,0,0,0,0,0,0,0,0,0
1523214662.800000,22,23,7,2,0,0,0,0,1,0,0,0,1,1,6,9,5,8,2,3,0,0,0,0,0,0,0,0,0,0
1523214662.850000,15,16,4,6,0,0,0,0,0,1,0,0,2,1,1,4,3,1,5,3,0,0,0,0,0,0,0,0,0,0
1523214662.900000,13,11,1,8,0,0,0,0,1,1,0,0,0,0,6,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0
1523214662.950000,3,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
1523214663.000000,15,14,4,0,0,0,0,0,0,1,0,0,1,0,4,6,3,5,3,2,0,0,0,0,0,0,0,0,0,0
1523214663.050000,9,9,5,4,0,0,0,0,1,0,0,0,0,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
