date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,Browse_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,BrowseStoriesInCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,ViewComment_http_out_rs,Search_http_out_rs,SearchInStories_http_out_rs,SearchInComments_http_out_rs,SearchInUsers_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523216100.000000,0.669500,0.228000,0.000000,0.000000,0.000000,0.000000,0.000000,2.359000,0.746000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.647429,0.181500,0.000000,0.000000,0.000000,0.000000,0.000000,1.036000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000
1523216100.050000,0.597125,0.333500,0.000000,0.000000,0.000000,0.000000,0.000000,1.070000,0.668000,0.116000,0.000000,0.000000,0.000000,0.000000,0.000000,0.684000,0.143000,0.000000,0.000000,0.000000,0.000000,0.000000,1.268000,0.113000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
1523216100.100000,0.487000,0.268333,0.000000,0.038000,0.064000,0.000000,0.000000,1.193333,0.382000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.588111,0.083000,0.000000,0.000000,0.000000,0.000000,0.266000,1.017500,0.615000,0.129500,0.000000,0.000000,0.000000,0.000000,0.000000
1523216100.150000,0.696000,0.308000,0.000000,0.000000,0.000000,0.000000,0.303000,1.417333,0.447250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.404100,0.213800,0.000000,0.038000,0.064000,0.000000,0.000000,0.956667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523216100.200000,0.393000,0.175000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977000,0.445000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.322429,0.306000,0.000000,0.000000,0.000000,0.000000,0.000000,1.031000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
1523216100.250000,0.372750,0.144000,0.000000,0.000000,0.000000,0.000000,0.245000,1.168000,0.089000,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.461250,0.326500,0.000000,0.000000,0.338000,0.000000,0.000000,0.891667,0.000000,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000
1523216100.300000,0.269143,0.151000,0.000000,0.000000,0.000000,0.000000,0.010000,1.067000,0.168333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.591286,0.238000,0.000000,0.000000,0.000000,0.000000,0.000000,1.042667,0.271000,0.231000,0.000000,0.000000,0.000000,0.000000,0.000000
1523216100.350000,0.449000,0.173000,0.000000,0.000000,0.000000,0.000000,0.000000,1.401500,0.478000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340182,0.174000,0.000000,0.000000,0.000000,0.000000,0.010000,1.517500,0.055000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000
1523216100.400000,0.588077,0.388000,0.000000,0.000000,0.000000,0.000000,0.009000,0.891750,0.922000,0.228750,0.000000,0.000000,0.000000,0.000000,0.000000,0.602417,0.177000,0.000000,0.000000,0.000000,0.000000,0.000000,1.215750,0.740000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
1523216100.450000,0.393857,0.136500,0.000000,0.000000,0.000000,0.000000,0.000000,0.845000,0.521000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.061714,0.000000,0.000000,0.000000,0.000000,0.000000,0.156000,1.600750,0.717000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
