workload,type,date_time,total_http
10000,Apache,0,0.6615
10000,Apache,50,1.0765
10000,Apache,100,1.6406
10000,Apache,150,1.172667
10000,Apache,200,1.430667
10000,Apache,250,1.103667
10000,Apache,300,0.251
10000,Apache,350,1.473
10000,Apache,400,1.377571
10000,Apache,450,1.464
10000,Apache,500,1.269625
10000,Apache,550,1.175556
10000,Apache,600,1.2894
10000,Apache,650,1.4426
10000,Apache,700,1.5765
10000,Apache,750,1.542
10000,Apache,800,1.402889
10000,Apache,850,0.945
10000,Apache,900,1.213556
10000,Apache,950,1.257778
10000,Apache,1000,0.6308
10000,Apache,1050,1.122429
10000,Apache,1100,0.856
10000,Apache,1150,1.3686
10000,Apache,1200,1.737333
10000,Apache,1250,1.0805
10000,Apache,1300,1.3335
10000,Apache,1350,1.542667
10000,Apache,1400,1.408
10000,Apache,1450,1.228
10000,Apache,1500,0.9465
10000,Apache,1550,1.214125
10000,Apache,1600,1.1952
10000,Apache,1650,1.10975
10000,Apache,1700,1.1876
10000,Apache,1750,1.5785
10000,Apache,1800,1.24475
10000,Apache,1850,1.4968
10000,Apache,1900,1.5495
10000,Apache,1950,1.0295
10000,Apache,2000,0.965667
10000,Apache,2050,1.43225
10000,Apache,2100,0.7994
10000,Apache,2150,1.143667
10000,Apache,2200,1.069
10000,Apache,2250,1.166
10000,Apache,2300,1.593
10000,Apache,2350,0.873
10000,Apache,2400,0.77525
10000,Apache,2450,0.9854
10000,Apache,2500,0.78775
10000,Apache,2550,0.8306
10000,Apache,2600,0.806
10000,Apache,2650,0.756
10000,Apache,2700,0.9346
10000,Apache,2750,0.65825
10000,Apache,2800,0.8778
10000,Apache,2850,1.1435
10000,Apache,2900,1.194667
10000,Apache,2950,0.800889
10000,Apache,3000,1.692667
10000,Apache,3050,1.7642
10000,Apache,3100,0.895625
10000,Apache,3150,1.0724
10000,Apache,3200,0.861571
10000,Apache,3250,1.1155
10000,Apache,3300,1.368333
10000,Apache,3350,1.969
10000,Apache,3400,1.00625
10000,Apache,3450,0.90125
10000,Apache,3500,0.636875
10000,Apache,3550,0.639667
10000,Apache,3600,0.685545
10000,Apache,3650,0.86525
10000,Apache,3700,0.8648
10000,Apache,3750,1.3164
10000,Apache,3800,1.114625
10000,Apache,3850,0.948125
10000,Apache,3900,1.197
10000,Apache,3950,1.0082
10000,Apache,4000,1.6188
10000,Apache,4050,0.70125
10000,Apache,4100,0.548778
10000,Apache,4150,0.9978
10000,Apache,4200,1.132429
10000,Apache,4250,1.0532
10000,Apache,4300,0.77575
10000,Apache,4350,1.65075
10000,Apache,4400,0.9911
10000,Apache,4450,1.397714
10000,Apache,4500,0.662
10000,Apache,4550,1.283
10000,Apache,4600,1.01075
10000,Apache,4650,1.406833
